News Outlet,Date of Tweet,Tweets Ago,Text,Positive Score,Neutral Score,Negative Score,Composite Score
@BBCWorld,Sun Jul 29 17:13:09 +0000 2018,1,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",0.146,0.854,0.0,0.6239
@BBCWorld,Sun Jul 29 16:53:16 +0000 2018,2,New York Times tells Trump: Don't call reporters enemies of the people https://t.co/nEFpbba3pn,0.18,0.82,0.0,0.3875
@BBCWorld,Sun Jul 29 16:50:38 +0000 2018,3,"RT @BBCSport: Less than 20km to go until Geraint Thomas wins the Tour de France for the first time! 👏

Live 👉 https://t.co/ZtkRdPtGio https…",0.129,0.871,0.0,0.6114
@BBCWorld,Sun Jul 29 15:18:41 +0000 2018,4,Ethiopian dam engineer Simegnew Bekele's funeral draws thousands https://t.co/rYSuKlqcjo,0.0,0.762,0.238,-0.3612
@BBCWorld,Sun Jul 29 14:59:44 +0000 2018,5,"RT @bbcf1: ""We came here knowing Ferrari would be really quick this weekend so to come out with these points, we'll definitely take it as a…",0.097,0.903,0.0,0.4019
@BBCWorld,Sun Jul 29 14:59:24 +0000 2018,6,RT @BBCSport: Lewis Hamilton won a tense strategic battle at the Hungarian Grand Prix. He heads into the break with a 24-point lead in the…,0.218,0.619,0.163,0.4019
@BBCWorld,Sun Jul 29 14:59:10 +0000 2018,7,"RT @BBCSport: Lewis Hamilton has won the #HungarianGP for the sixth time. 

His lead in the championship is up to 24 points.

Reaction: htt…",0.231,0.769,0.0,0.765
@BBCWorld,Sun Jul 29 14:52:39 +0000 2018,8,Cambodia election: Ruling party claims landslide in vote with no main opposition https://t.co/Jrc8E9Zchg,0.17,0.692,0.138,0.128
@BBCWorld,Sun Jul 29 14:22:58 +0000 2018,9,"RT @BBCSport: Today's the day!

Geraint Thomas is set to make Tour de France history 👏

We're live 👉 https://t.co/ZtkRdPtGio #bbccycling ht…",0.0,1.0,0.0,0.0
@BBCWorld,Sun Jul 29 12:13:59 +0000 2018,10,Surveying the damage in Lombok after a powerful earthquake hit the popular tourist destination in Indonesia… https://t.co/7tNtDeRPPy,0.257,0.596,0.147,0.34
@BBCWorld,Sun Jul 29 12:10:08 +0000 2018,11,Zimbabwe election: Robert Mugabe gives surprise speech on eve of poll https://t.co/Qog0b6oNFY,0.16,0.84,0.0,0.2732
@BBCWorld,Sun Jul 29 11:02:24 +0000 2018,12,"RT @BBCNews: What's the least popular emoji on Twitter? 😢

https://t.co/q003FloumJ https://t.co/mz0fImuUpB",0.0,0.669,0.331,-0.6632
@BBCWorld,Sun Jul 29 09:56:18 +0000 2018,13,"RT @BBCNews: 🐍😱

Woman wakes to find 'escaped' python in her bed 

https://t.co/4dlj1HGnh1 https://t.co/xS8Gs6bXrF",0.0,1.0,0.0,0.0
@BBCWorld,Sun Jul 29 09:55:46 +0000 2018,14,Polar bear shot dead after attacking cruise ship guard https://t.co/EPNLOiO5SM,0.0,0.523,0.477,-0.8074
@BBCWorld,Sun Jul 29 08:08:38 +0000 2018,15,"RT @BBCNews: 📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📚

Love books? Are you guilty of tsundoku or bibliomania?
https://t.co/SIgW0d…",0.248,0.599,0.153,0.4137
@BBCWorld,Sun Jul 29 07:35:20 +0000 2018,16,"RT @BBCSport: He's off the mark! 

Wayne Rooney netted his first goal for  DC United as they beat the Colorado Rapids, 2-1 in the #MLS.…",0.114,0.886,0.0,0.4753
@BBCWorld,Sun Jul 29 04:59:57 +0000 2018,17,Ahed Tamimi: Israel frees Palestinian viral slap video teen https://t.co/UtQwZSrCsO,0.322,0.678,0.0,0.4215
@BBCWorld,Sun Jul 29 03:34:16 +0000 2018,18,Indonesia earthquake: 10 dead on tourist island Lombok https://t.co/1dRSUNveOV,0.0,0.65,0.35,-0.6486
@BBCWorld,Sun Jul 29 01:36:18 +0000 2018,19,Slobodan Milosevic: Ex-Serbia leader's war crimes lawyer shot dead https://t.co/o5ew1O1PDX,0.0,0.494,0.506,-0.8481
@BBCWorld,Sun Jul 29 00:57:42 +0000 2018,20,Nicaragua protests: Thousands show support for Catholic Church https://t.co/9oSfaYXdcp,0.233,0.603,0.164,0.2023
